F1_macro,batch_size,dropout,hidden_size,lr,num_layers,opt,preprocessing,selected_features,type
0.7478,512,0.5,128,0.0001,3,adam,log,"n_flows,n_packets,n_bytes",LSTM
0.745,1024,0.0,256,0.01,1,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",LSTM
0.3122,512,0.0,256,0.01,2,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",RNN
0.6189,1024,0.2,128,0.0001,2,adam,z_score,"n_flows,n_packets,n_bytes",GRU
0.7783,256,0.5,1024,0.001,2,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",LSTM
0.7745,512,0.0,128,0.0001,1,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",RNN
0.3122,1024,0.2,1024,0.01,2,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",LSTM
0.7333,256,0.0,256,0.01,1,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",GRU
0.4179,512,0.0,256,0.01,1,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",RNN
0.7693,1024,0.0,1024,0.0001,3,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",RNN
0.7327,256,0.5,128,0.001,2,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",LSTM
0.7487,256,0.2,512,0.0001,3,adam,log,"n_flows,n_packets,n_bytes",GRU
0.3237,1024,0.5,256,0.01,2,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",RNN
