F1_macro,activation_f,batch_size,dropout,hidden_size,lr,num_layers,opt,preprocessing,selected_features,type
0.7397,sigmoid,256,0.0,128,0.001,1,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7011,sigmoid,512,0.5,1024,0.001,3,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7121,relu,512,0.0,128,0.01,1,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7018,relu,256,0.5,256,0.01,4,adam,log,"n_flows,n_packets,n_bytes",MLP
0.7016,sigmoid,512,0.2,128,0.01,5,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6199,sigmoid,512,0.2,128,0.0001,1,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6797,relu,512,0.5,512,0.0001,3,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7164,sigmoid,1024,0.2,512,0.001,2,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6859,relu,256,0.2,256,0.01,5,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7239,sigmoid,512,0.0,1024,0.001,3,adam,log,"n_flows,n_packets,n_bytes",MLP
0.7839,relu,256,0.0,1024,0.0001,5,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7584,relu,1024,0.5,128,0.001,4,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7434,sigmoid,512,0.0,512,0.01,2,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7859,sigmoid,256,0.2,512,0.001,5,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6777,relu,256,0.5,128,0.01,4,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6866,sigmoid,1024,0.2,256,0.0001,4,adam,log,"n_flows,n_packets,n_bytes",MLP
0.7539,relu,1024,0.2,1024,0.001,5,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6818,relu,256,0.5,1024,0.01,1,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7177,relu,256,0.5,512,0.0001,2,adam,log,"n_flows,n_packets,n_bytes",MLP
0.7233,relu,512,0.2,1024,0.0001,2,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.572,sigmoid,1024,0.0,256,0.0001,4,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7353,relu,256,0.2,256,0.001,3,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6804,sigmoid,256,0.2,128,0.01,5,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7621,relu,512,0.2,128,0.0001,1,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7515,relu,512,0.0,256,0.0001,3,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7108,sigmoid,1024,0.5,64,0.0001,3,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6475,relu,256,0.5,64,0.01,3,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7072,sigmoid,1024,0.2,256,0.0001,1,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6312,relu,1024,0.2,64,0.0001,4,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.3122,sigmoid,256,0.5,1024,0.01,2,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.3122,sigmoid,1024,0.5,1024,0.01,3,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7479,sigmoid,512,0.0,256,0.001,5,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7,sigmoid,1024,0.5,128,0.01,1,adam,log,"n_flows,n_packets,n_bytes",MLP
0.7734,relu,256,0.2,64,0.001,2,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.728,relu,1024,0.2,64,0.0001,3,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6818,relu,256,0.0,1024,0.001,3,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7356,relu,256,0.5,256,0.001,5,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.5975,sigmoid,512,0.5,1024,0.0001,4,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7351,sigmoid,256,0.0,512,0.001,2,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7095,sigmoid,1024,0.2,64,0.01,2,adam,log,"n_flows,n_packets,n_bytes",MLP
0.7388,relu,512,0.5,128,0.0001,3,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6833,relu,256,0.0,64,0.01,1,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
