n_clusters,metric,features,undersampling,preprocessing,accuracy,f1_macro,macro_recall
750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8875935006873856,0.6262132675308395,0.6229701147048533
1000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9174541833100597,0.7129242209979679,0.7027031019108586
1500,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8822567899630869,0.35378190142930066,0.354364876175995
750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9197599021422618,0.7094776694836766,0.6743105176235954
1250,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9125071715433162,0.6651153374408827,0.6344460683910677
1250,euclidean,"n_flows,n_packets,n_bytes",True,log,0.9082042455536431,0.6790035135133715,0.6754180101866724
1250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9186611675813767,0.6900709803193458,0.664272924623021
1750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9195542276924409,0.6910472859170208,0.6552407715083705
250,euclidean,"n_flows,n_packets,n_bytes",True,log,0.9062557507658667,0.6528970532346546,0.6432702972214325
750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9162634364953074,0.7119020968761136,0.7038677712502713
1250,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8822676149341301,0.3537972210509623,0.3543834091066609
750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9159278623929681,0.7159125557795347,0.705771181233238
1250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9177356325571829,0.7160308049778198,0.7074104667229159
2000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9215189599367821,0.7306712320351295,0.7299535522599241
500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9183201809935159,0.6969399169267092,0.667871952788547
750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9223741326491952,0.7111194904970276,0.675927480766689
1750,euclidean,"n_flows,n_packets,n_bytes",True,log,0.9088266813886273,0.6835366390309803,0.6804582230370779
1500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9138278180105868,0.7099432165480483,0.7038588993952496
