n_clusters,metric,features,undersampling,preprocessing,accuracy,f1_macro,macro_recall
750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8799131837322335,0.5940634991529657,0.5823460225424949
1000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9037010575996709,0.6718787105681047,0.6799344104954846
1500,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8993602442113467,0.4825147339686027,0.45238230041664046
750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9091460180344018,0.6548868311637925,0.629182770872513
1250,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9036090453458037,0.5581446164292236,0.5154988757456049
1250,euclidean,"n_flows,n_packets,n_bytes",True,log,0.8938070340661839,0.6171030337881779,0.6278098623889488
1250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9099200034639907,0.6032148025300199,0.5467073467840831
1750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9094653546801762,0.6120834817550137,0.5596997088534836
250,euclidean,"n_flows,n_packets,n_bytes",True,log,0.8931250608904621,0.587529571258414,0.5699980108874222
750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9049459292696392,0.6684748561265592,0.6737963944454973
1250,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.899262819471958,0.4839403063814523,0.4533078195778229
750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9092488552593122,0.6853525780714532,0.6901710739890846
1250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9055575401335801,0.6755956947897924,0.6832655157199229
2000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9091839054330529,0.6948660983462508,0.6947003684064744
500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9082367204667727,0.6484944318823395,0.6155504410398868
750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9130538325809978,0.6766958607940156,0.6583661187717029
1750,euclidean,"n_flows,n_packets,n_bytes",True,log,0.8887625975600515,0.6136567765283801,0.6325709844180056
1500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9071704608190173,0.6837406517665481,0.6869592179473741
750,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.885498868790526,0.48460462169514656,0.4777824735057467
1000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9148183028610398,0.68443999474508,0.6659101001739571
1500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9070838610506717,0.592621194278509,0.5444025986971407
1750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9078199590816095,0.6890587127778646,0.6903485019513819
1750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8786899620043517,0.5983786220986042,0.6008727034699428
1250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9063585879907772,0.6790309522257014,0.6980793067884017
1500,euclidean,"n_flows,n_packets,n_bytes",True,log,0.889964169345847,0.6139679324399204,0.6326932932151791
1000,euclidean,"n_flows,n_packets,n_bytes",True,log,0.8931250608904621,0.6141242200486027,0.6221838533303813
2000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9081988330681215,0.6881425308827406,0.6935741067683634
500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9004860411998398,0.66606599498916,0.6700100942348728
2000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9174054709403653,0.6923066827340337,0.6615133750636268
750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9004914536853614,0.6646981286556893,0.6794051911151309
250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9005564035116206,0.6516799346404587,0.6568784989858555
1000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9086697193085008,0.6866516179597374,0.6850184002091962
250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9063207005921259,0.6244551459160078,0.596470856373622
1750,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.899939380162158,0.4908930743143907,0.46307073686979333
1500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9113218372140854,0.6662781162813681,0.6438490994556066
1250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9085019322573312,0.6832319566901589,0.6773133432986422
2000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.912902282986393,0.6775412980986669,0.6613768651597148
2000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9019203498630641,0.6678466965948777,0.696505800884165
1750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9062286883382586,0.6796935092541379,0.687057343652001
